,cipher,country,region
0,"['AA', 'AB', 'AC', 'AD', 'AE', 'AF', 'AG', 'AH']",South Africa,Africa
1,BU,Uganda,Africa
2,"['DF', 'DG', 'DH', 'DJ', 'DK']",Morocco,Africa
3,"['JA', 'JB', 'JC', 'JD', 'JE', 'JF', 'JG', 'JH', 'JJ', 'JK', 'JL', 'JM', 'JN', 'JP', 'JR', 'JS', 'JT', 'JU', 'JV', 'JW', 'JX', 'JY', 'JZ', 'J1', 'J2', 'J3', 'J4', 'J5', 'J6', 'J7', 'J8', 'J9', 'J0']",Japan,Asia
4,"['KF', 'KG', 'KH', 'KJ', 'KK']",Israel,Asia
5,"['KL', 'KM', 'KN', 'KP', 'KR']",South Korea,Asia
6,"['LA', 'LB', 'LC', 'LD', 'LE', 'LF', 'LG', 'LH', 'LJ', 'LK', 'LL', 'LM', 'LN', 'LP', 'LR', 'LS', 'LT', 'LU', 'LV', 'LW', 'LX', 'LY', 'LZ', 'L1', 'L2', 'L3', 'L4', 'L5', 'L6', 'L7', 'L8', 'L9', 'L0']",China,Asia
7,"['MA', 'MB', 'MC', 'MD', 'ME']",India,Asia
8,"['MF', 'MG', 'MH', 'MJ', 'MK']",Indonesia,Asia
9,"['ML', 'MM', 'MN', 'MP', 'MR']",Thailand,Asia
10,MS,Myanmar,Asia
11,MX,Kazakhstan,Asia
12,"['MY', 'MZ', 'M1', 'M2', 'M3', 'M4', 'M5', 'M6', 'M7', 'M8', 'M9', 'M0']",India,Asia
13,"['NL', 'NM', 'NN', 'NP', 'NR']",Turkey,Asia
14,"['PA', 'PB', 'PC', 'PD', 'PE']",Philippines,Asia
15,"['PF', 'PG', 'PH', 'PJ', 'PK']",Singapore,Asia
16,"['PL', 'PM', 'PN', 'PP', 'PR']",Malaysia,Asia
17,"['RF', 'RG', 'RH', 'RJ', 'RK']",Taiwan,Asia
18,"['RL', 'RM', 'RN', 'RP']",Vietnam,Asia
19,"['R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7']",Hong Kong,Asia
20,"['SA', 'SB', 'SC', 'SD', 'SE', 'SF', 'SG', 'SH', 'SJ', 'SK', 'SL', 'SM']",United Kingdom,Europe
21,"['SN', 'SP', 'SR', 'SS', 'ST']",Germany (formerly East Germany),Europe
22,"['SU', 'SV', 'SW', 'SX', 'SY', 'SZ']",Poland,Europe
23,"['TA', 'TB', 'TC', 'TD', 'TE', 'TF', 'TG', 'TH']",Switzerland,Europe
24,"['TJ', 'TK', 'TL', 'TM', 'TN', 'TP']",Czech Republic,Europe
25,"['TR', 'TS', 'TT', 'TU', 'TV']",Hungary,Europe
26,"['TW', 'TX', 'TY', 'TZ', 'T1', 'T2']",Portugal,Europe
27,"['UN', 'UP', 'UR', 'US', 'UT']",Ireland,Europe
28,"['UU', 'UV', 'UW', 'UX', 'UY', 'UZ']",Romania,Europe
29,"['U5', 'U6', 'U7']",Slovakia,Europe
30,"['VA', 'VB', 'VC', 'VD', 'VE']",Austria,Europe
31,"['VF', 'VG', 'VH', 'VJ', 'VK', 'VL', 'VM', 'VN', 'VP', 'VR']",France,Europe
