,country,model
38,Germany (formerly West Germany),Volkswagen
86,Brazil,Volkswagen
154,Mexico,Volkswagen
185,Germany (formerly West Germany),Audi
250,United States,Volkswagen
3262,Hungary,Audi
7139,Canada,Volkswagen
10,United States,Toyota
81,Japan,Lexus
87,Canada,Toyota
106,Japan,Toyota
158,Canada,Lexus
1177,Mexico,Toyota
33466,France,Toyota
31,United States,Mercedes
48,Germany (formerly West Germany),BMW
73,Germany (formerly West Germany),Mercedes
217,United States,BMW
183,Sweden,Volvo
68,United States,Subaru
494,Japan,Subaru
0,Canada,Ford
1,Mexico,Ford
5,Mexico,Lincoln
7,United States,Ford
82,United States,Lincoln
173,Canada,Lincoln
694,Turkey,Ford
314488,South Korea,Ford
6,United States,Pontiac
11,United States,Buick
13,United States,Chevrolet
15,Canada,Chevrolet
20,United States,Cadillac
22,Mexico,Cadillac
23,United States,GMC
62,South Korea,Kia
111,Mexico,Chevrolet
157,South Korea,Chevrolet
162,Mexico,Buick
227,Canada,Buick
309,Mexico,GMC
471,Canada,GMC
702,Canada,Pontiac
3926,Germany (formerly West Germany),Buick
6085,Canada,Cadillac
6991,Mexico,Pontiac
8264,South Korea,Buick
12155,Australia,Pontiac
39800,Germany (formerly West Germany),Cadillac
47759,South Korea,Pontiac
255889,Australia,Chevrolet
2,Mexico,Nissan
14,Japan,Nissan
30,United States,Nissan
221,Japan,Infiniti
1926,United States,Infiniti
16,United States,Honda
18,Canada,Honda
186,Japan,Honda
626,Mexico,Honda
1917,United Kingdom,Honda
27,Canada,Chrysler
75,United States,Chrysler
128,Mexico,Chrysler
165,Canada,Dodge
182,United States,Dodge
222,Mexico,Dodge
299,Japan,Mitsubishi
317,United States,Mitsubishi
1906,Thailand,Mitsubishi
10002,Germany (formerly West Germany),Dodge
12710,Australia,Mitsubishi
42,Japan,Mazda
161,United Kingdom,Land Rover
640,United States,Mazda
142349,Mexico,Mazda
8,South Korea,Hyundai
55,United States,Hyundai
3,United States,Other
24,Sweden,Other
67,United Kingdom,Jaguar
77,United States,MG
115,Italy,Fiat
122,South Korea,Suzuki
228,Germany (formerly West Germany),MINI
370,Germany (formerly West Germany),WME
473,Mexico,Fiat
492,Germany (formerly West Germany),Other
879,Japan,Suzuki
1289,United Kingdom,Other
1454,Mexico,Other
1740,Canada,Other
2978,Finland,Other
3648,Canada,Suzuki
5774,United States,Isuzu
6200,Italy,Other
6830,Japan,Isuzu
10323,United States,Tesla
