,WMI,Manufacturer,marka
0,AAA,Audi South Africa made by Volkswagen of South Africa,Audi
1,AAV,Volkswagen South Africa,Volkswagen
2,ABJ,Mitsubishi Colt & Triton pickups made by Mercedes-Benz South Africa 1994–2011,Mercedes
3,ABJ,Mitsubishi Fuso made by Daimler Trucks & Buses Southern Africa,Mitsubishi
4,ACV,Isuzu Motors South Africa 2018-,Isuzu
5,AC5,Hyundai Automotive South Africa,Hyundai
6,ADM,General Motors South Africa (includes Isuzu through 2018),Isuzu
7,ADN,Nissan South Africa (Pty) Ltd.,Nissan
8,ADR,Renault Sandero made by Nissan South Africa (Pty) Ltd.,Renault
9,AFA,Ford Motor Company of Southern Africa & Samcor,Ford
10,AFB,Mazda BT-50 made by Ford Motor Company of Southern Africa,Ford
11,AHM,Honda Ballade made by Mercedes-Benz South Africa 1982–2000,Honda
12,AHT,Toyota South Africa Motors (Pty.) Ltd.,Toyota
13,BR1,Mercedes-Benz Algeria (SAFAV MB),Mercedes
14,HES,"smart Automobile Co., Ltd. (Mercedes-Geely joint venture)",Geely
15,JAA,Isuzu truck,Isuzu
16,JAB,Isuzu car,Isuzu
17,JAC,Isuzu SUV,Isuzu
18,JAE,Acura SLX made by Isuzu,Isuzu
19,JAL,Isuzu commercial trucks & Chevrolet commercial trucks made by Isuzu 2016+ & Hino S-series truck made by Isuzu (Incomplete Vehicle),Chevrolet
20,JAM,Isuzu commercial trucks (Incomplete Vehicle),Isuzu
21,JA3,Mitsubishi car,Mitsubishi
22,JA4,Mitsubishi MPV/SUV,Mitsubishi
23,JA7,Mitsubishi truck,Mitsubishi
24,JB3,Dodge car made by Mitsubishi Motors,Dodge
25,JB4,Dodge MPV/SUV made by Mitsubishi Motors,Dodge
26,JB7,Dodge truck made by Mitsubishi Motors,Dodge
27,JC0,Ford brand cars made by Mazda,Ford
28,JC1,Fiat 124 Spider made by Mazda,Fiat
29,JC2,Ford Courier made by Mazda,Ford
30,JDA,Daihatsu,Daihatsu
31,JD1,Daihatsu car,Daihatsu
32,JD2,Daihatsu SUV,Daihatsu
33,JD4,Daihatsu truck,Daihatsu
34,JE3,Eagle car made by Mitsubishi Motors,Mitsubishi
35,JE4,Mitsubishi Motors,Mitsubishi
36,JF1,(Subaru) car,Subaru
37,JF2,(Subaru) SUV,Subaru
38,JF3,(Subaru) truck,Subaru
39,JF4,Saab 9-2X made by Subaru,Subaru
40,JG1,Chevrolet/Geo car made by Suzuki,Chevrolet
41,JG7,Pontiac/Asuna car made by Suzuki for GM Canada,Suzuki
42,JGC,Chevrolet/Geo SUV made by Suzuki (classified as a truck),Chevrolet
43,JGT,GMC SUV made by Suzuki for GM Canada (classified as a truck),GMC
44,"['JHF', 'JHG', 'JHL', 'JHM', 'JHN', 'JHZ', 'JH1', 'JH2', 'JH3', 'JH4', 'JH5']",Honda,Honda
